ticker,timestamp,open,high,low,close,volume,bu,sd,fb,fs,fn
AAA,2025-07-21 00:00,7760.0,7840.0,7680.0,7680.0,3728742.0,1192100.0,2332700.0,1731367000.0,312014000.0,1419353000.0
AAA,2025-07-22 00:00,7680.0,7730.0,7620.0,7680.0,2314161.0,855700.0,1370200.0,1993465000.0,1116763000.0,876702000.0
AAA,2025-07-23 00:00,7770.0,7890.0,7740.0,7890.0,5110819.0,2719400.0,2074300.0,8329691000.0,1348525000.0,6981166000.0
AAA,2025-07-24 00:00,8000.0,8400.0,8000.0,8240.0,6244416.0,3268400.0,2747600.0,1158039000.0,4317792000.0,-3159753000.0
AAA,2025-07-25 00:00,8250.0,8300.0,8120.0,8140.0,4325137.0,1595800.0,2466700.0,108608000.0,2514539000.0,-2405931000.0
AAA,2025-07-28 00:00,8170.0,8300.0,8160.0,8210.0,4833129.0,2011600.0,2582200.0,3809306000.0,1728415000.0,2080891000.0
AAA,2025-07-29 00:00,8280.0,8350.0,7800.0,7800.0,7729766.0,2544900.0,4730100.0,4150392000.0,4142401000.0,7991000.0
AAA,2025-07-30 00:00,7800.0,8340.0,7790.0,8340.0,8543403.0,3790800.0,4589800.0,2408252000.0,2359277000.0,48975000.0
AAA,2025-07-31 00:00,8700.0,8920.0,8640.0,8800.0,12031085.0,6378500.0,5042900.0,5044428000.0,6750537000.0,-1706109000.0
AAA,2025-08-01 00:00,8900.0,8900.0,8450.0,8510.0,5359442.0,1966400.0,2966800.0,3422419000.0,4072764000.0,-650345000.0
AAA,2025-08-04 00:00,8550.0,8690.0,8400.0,8600.0,3824959.0,1502200.0,2106400.0,2347239000.0,1315132000.0,1032107000.0
AAA,2025-08-05 00:00,8600.0,8660.0,8150.0,8380.0,8714415.0,2387900.0,6023500.0,2521977000.0,6382778000.0,-3860801000.0
AAA,2025-08-06 00:00,8430.0,8540.0,8400.0,8450.0,2832773.0,1319800.0,1391200.0,1240261000.0,3143947000.0,-1903686000.0
AAA,2025-08-07 00:00,8550.0,8650.0,8480.0,8540.0,3577529.0,1443200.0,1916000.0,1544719000.0,4057950000.0,-2513231000.0
AAA,2025-08-08 00:00,8550.0,8820.0,8530.0,8610.0,5353019.0,2768200.0,2322900.0,2810152000.0,2748994000.0,61158000.0
AAA,2025-08-11 00:00,8800.0,8800.0,8610.0,8680.0,3721444.0,1301900.0,1979400.0,218256000.0,2041325000.0,-1823069000.0
AAA,2025-08-12 00:00,8710.0,8730.0,8500.0,8540.0,5026672.0,1430300.0,3409700.0,973444000.0,1543671180.0,-570227180.0
AAA,2025-08-13 00:00,8600.0,8750.0,8500.0,8750.0,5598916.0,2674100.0,2582100.0,4086483000.0,1389345000.0,2697138000.0
AAA,2025-08-14 00:00,8850.0,8930.0,8730.0,8760.0,5813741.0,2669300.0,2951400.0,2563597240.0,1484913000.0,1078684240.0
AAA,2025-08-15 00:00,8800.0,8830.0,8400.0,8420.0,7464040.0,1820300.0,5255800.0,1114166000.0,7445365000.0,-6331199000.0
AAA,2025-08-18 00:00,8450.0,8520.0,8360.0,8450.0,3930463.0,1385100.0,2363300.0,614268000.0,3711162000.0,-3096894000.0
AAA,2025-08-19 00:00,8470.0,8640.0,8410.0,8500.0,3303390.0,1404000.0,1734300.0,1223501000.0,2058579000.0,-835078000.0
AAA,2025-08-20 00:00,8520.0,8520.0,8000.0,8200.0,5301865.0,1920400.0,3054200.0,2149061000.0,1254219000.0,894842000.0
AAA,2025-08-21 00:00,8290.0,8290.0,8000.0,8050.0,4268347.0,1084000.0,2913800.0,236668000.0,533222000.0,-296554000.0
AAA,2025-08-22 00:00,8020.0,8020.0,7800.0,7870.0,4430225.0,1575400.0,2552800.0,530253000.0,1177451000.0,-647198000.0
AAA,2025-08-25 00:00,8000.0,8000.0,7850.0,7910.0,2073807.0,594600.0,1371100.0,146385000.0,1105046000.0,-958661000.0
AAA,2025-08-26 00:00,7900.0,8010.0,7890.0,8010.0,1557188.0,854900.0,599900.0,425764000.0,226896910.0,198867090.0
AAA,2025-08-27 00:00,8090.0,8190.0,8060.0,8080.0,2475542.0,1327600.0,1085500.0,4037000.0,488814000.0,-484777000.0
AAA,2025-08-28 00:00,8110.0,8180.0,8100.0,8170.0,1179823.0,441400.0,640400.0,275967000.0,269830000.0,6137000.0
AAA,2025-08-29 00:00,8160.0,8200.0,8110.0,8120.0,1984393.0,534100.0,1279000.0,34188000.0,282475000.0,-248287000.0
AAM,2025-07-21 00:00,7200.0,7210.0,7150.0,7150.0,12951.0,6300.0,4800.0,17290000.0,7170000.0,10120000.0
AAM,2025-07-22 00:00,7150.0,7200.0,7150.0,7150.0,4602.0,1600.0,800.0,0.0,0.0,0.0
AAM,2025-07-23 00:00,7120.0,7150.0,7050.0,7050.0,18576.0,10300.0,7800.0,0.0,0.0,0.0
AAM,2025-07-24 00:00,7050.0,7380.0,7050.0,7300.0,12986.0,3900.0,7900.0,0.0,0.0,0.0
AAM,2025-07-25 00:00,7300.0,7400.0,7300.0,7380.0,8268.0,3000.0,4500.0,730000.0,0.0,730000.0
AAM,2025-07-28 00:00,7380.0,7400.0,7300.0,7380.0,17525.0,11000.0,6100.0,738000.0,0.0,738000.0
